Metric Name,Cumulative
$TSC,226620862720
$APerf,270901850427
$MPerf,226619704864
$CpuCycles,270894827972
$RetdInst,771976928902
$RetdBrInst,106212192740
$LoadDisp,264324669356
$StoreDisp,179764941494
$RetdUops,722102592318
$IRPerfL2,763325637192
$L2AccessWithoutPF,250360394
$L2AccessFromICMiss,237147609
$L2AccessFromDCMiss,12377364
$L2PFHitinL2,1074494
$L2PFMissL2HitinL3,355699
$L2PFMissL2L3,40365
$IRPerfL22,760903687563
$L2MissIC,1622616
$L2MissDC,1294071
$L2HitIC,208270849
$L2HitDC,10403228
$L2HitWithoutPF,219382268
$IRPerfL3,767366611985
$L3Clock,269450989180
$L3Access,25761725
$L3Miss,2048135
$L3MissLatency,129564366
$L3MissByType,2692980
$DFTscMem,224840624540
$DFCS0Umc0ReqRd,2064417
$DFCS0Umc0ReqWr,297866
$DFCS1Umc1ReqRd,1733762
$DFCS1Umc1ReqWr,297012
$DFCS2Umc2ReqRd,1605795
$DFCS2Umc2ReqWr,146800
$DFCS3Umc3ReqRd,1380832
$DFCS3Umc3ReqWr,145595
$DFCS4Umc4ReqRd,2291067
$DFCS4Umc4ReqWr,342718
$DFCS5Umc5ReqRd,2861172
$DFCS5Umc5ReqWr,342555
$DFCS6Umc6ReqRd,1561784
$DFCS6Umc6ReqWr,305103
$DFCS7Umc7ReqRd,1580832
$DFCS7Umc7ReqWr,304581
