Metric Name,Cumulative
$TSC,3199866057500.0
$APerf,3089586474317.0
$MPerf,2587703000484.0
$CpuCycles,3090730849015.0
$RetdInst,1205998072548.0
$RetdBrInst,168888632414.0
$LoadDisp,479070749154.0
$StoreDisp,108699947211.0
$RetdUops,1417197448127.0
$IRPerfL2,1122057117833.0
$L2AccessWithoutPF,47208702443.0
$L2AccessFromICMiss,748725187.0
$L2AccessFromDCMiss,46414125103.0
$L2PFHitinL2,5161986807.0
$L2PFMissL2HitinL3,1058977891.0
$L2PFMissL2L3,21712331626.0
$IRPerfL22,1123582014000.0
$L2MissIC,494104141.0
$L2MissDC,5463025813.0
$L2HitIC,259997720.0
$L2HitDC,31267973290.0
$L2HitWithoutPF,31539084088.0
$IRPerfL3,456203104685.0
$L3Clock,1230745903138.0
$L3Access,43583193462.0
$L3Miss,40269119977.0
$L3MissLatency,2238224049580.0
$L3MissByType,40297035117.0
$DFTscMem,137549397160.0
$DFCS0Umc0ReqRd,4971183364.0
$DFCS0Umc0ReqWr,2836764847.0
$DFCS1Umc1ReqRd,4967751171.0
$DFCS1Umc1ReqWr,2836405827.0
$DFCS2Umc2ReqRd,4534315252.0
$DFCS2Umc2ReqWr,2628785744.0
$DFCS3Umc3ReqRd,4529999997.0
$DFCS3Umc3ReqWr,2618248926.0
$DFCS4Umc4ReqRd,4288402896.0
$DFCS4Umc4ReqWr,2463590509.0
$DFCS5Umc5ReqRd,4287032608.0
$DFCS5Umc5ReqWr,2463003610.0
$DFCS6Umc6ReqRd,3779709491.0
$DFCS6Umc6ReqWr,2161568110.0
$DFCS7Umc7ReqRd,3808688875.0
$DFCS7Umc7ReqWr,2164040647.0
