Metric Name,Cumulative
Utilization (%),80.84583333333333
Eff Freq,3343.084375000001
IPC (Sys + User),0.389375
CPI (Sys + User),2.594583333333333
Pipeline Utilization (%),4.872083333333332
L2 Access (pti),68.54312500000002
L2 Access from IC Miss (pti),0.67875
L2 Access from DC Miss (pti),42.32333333333333
L2 Access from HWPF (pti),25.50020833333333
L2 Miss (pti),26.182916666666674
L2 Miss from IC Miss (pti),0.4489583333333334
L2 Miss from DC Miss (pti),4.951666666666666
L2 Miss from HWPF (pti),20.782708333333336
L2 Hit (pti),33.439583333333324
L2 Hit from IC Miss (pti),0.2324999999999999
L2 Hit from DC Miss (pti),28.47791666666667
L2 Hit from HWPF (pti),4.717916666666668
L3 Access,43583193462.0
L3 Miss,40269119977.0
L3 Hit Rate (%),7.595625
L3 Miss Rate (%),92.404375
Ave L3 Miss Latency,888.9418750000001
Total Mem Bw (GB/s),144.18
Total Mem RdBw (GB/s),91.62
Total Mem WrBw (GB/s),52.56
Mem Ch-A RdBw (GB/s),12.95
Mem Ch-A WrBw (GB/s),7.39
Mem Ch-B RdBw (GB/s),12.94
Mem Ch-B WrBw (GB/s),7.39
Mem Ch-C RdBw (GB/s),11.81
Mem Ch-C WrBw (GB/s),6.82
Mem Ch-D RdBw (GB/s),11.82
Mem Ch-D WrBw (GB/s),6.85
Mem Ch-E RdBw (GB/s),9.85
Mem Ch-E WrBw (GB/s),5.63
Mem Ch-F RdBw (GB/s),9.92
Mem Ch-F WrBw (GB/s),5.64
Mem Ch-G RdBw (GB/s),11.17
Mem Ch-G WrBw (GB/s),6.41
Mem Ch-H RdBw (GB/s),11.17
Mem Ch-H WrBw (GB/s),6.42
