Metric Name,Cumulative
Utilization (%),99.0314583333333
Eff Freq,3343.726666666667
IPC (Sys + User),0.5560416666666667
CPI (Sys + User),1.8037499999999997
Pipeline Utilization (%),6.945625000000001
L2 Access (pti),96.51250000000003
L2 Access from IC Miss (pti),0.5104166666666667
L2 Access from DC Miss (pti),52.885416666666664
L2 Access from HWPF (pti),42.91729166666665
L2 Miss (pti),40.25958333333333
L2 Miss from IC Miss (pti),0.3670833333333335
L2 Miss from DC Miss (pti),7.216041666666669
L2 Miss from HWPF (pti),32.67604166666667
L2 Hit (pti),49.67729166666668
L2 Hit from IC Miss (pti),0.10687499999999994
L2 Hit from DC Miss (pti),39.07104166666667
L2 Hit from HWPF (pti),10.24125
L3 Access,130073835494.0
L3 Miss,46090573385.0
L3 Hit Rate (%),64.565
L3 Miss Rate (%),35.434999999999995
Ave L3 Miss Latency,1081.170625
Total Mem Bw (GB/s),115.85000000000001
Total Mem RdBw (GB/s),94.93
Total Mem WrBw (GB/s),20.939999999999998
Mem Ch-A RdBw (GB/s),12.35
Mem Ch-A WrBw (GB/s),2.7800000000000002
Mem Ch-B RdBw (GB/s),12.35
Mem Ch-B WrBw (GB/s),2.7800000000000002
Mem Ch-C RdBw (GB/s),12.440000000000001
Mem Ch-C WrBw (GB/s),2.77
Mem Ch-D RdBw (GB/s),12.43
Mem Ch-D WrBw (GB/s),2.77
Mem Ch-E RdBw (GB/s),9.95
Mem Ch-E WrBw (GB/s),2.13
Mem Ch-F RdBw (GB/s),10.14
Mem Ch-F WrBw (GB/s),2.17
Mem Ch-G RdBw (GB/s),12.629999999999999
Mem Ch-G WrBw (GB/s),2.76
Mem Ch-H RdBw (GB/s),12.629999999999999
Mem Ch-H WrBw (GB/s),2.76
