Metric Name,Cumulative
$TSC,4527090957592.0
$APerf,1113640880404.0
$MPerf,934132955840.0
$CpuCycles,1112406280481.0
$RetdInst,1416784791038.0
$RetdBrInst,208466201135.0
$LoadDisp,577011532056.0
$StoreDisp,177396632964.0
$RetdUops,1299947347290.0
$IRPerfL2,1008066923647.0
$L2AccessWithoutPF,11535454039.0
$L2AccessFromICMiss,620611709.0
$L2AccessFromDCMiss,10488525459.0
$L2PFHitinL2,1044111370.0
$L2PFMissL2HitinL3,1376657490.0
$L2PFMissL2L3,729308755.0
$IRPerfL22,1074277053834.0
$L2MissIC,324719050.0
$L2MissDC,4415802136.0
$L2HitIC,298424539.0
$L2HitDC,7370886221.0
$L2HitWithoutPF,8030576813.0
$IRPerfL3,445428009229.0
$L3Clock,1215186582480.0
$L3Access,10009725137.0
$L3Miss,2680105314.0
$L3MissLatency,66261403292.0
$L3MissByType,2683207831.0
$DFTscMem,187799553032.0
$DFCS0Umc0ReqRd,487807896.0
$DFCS0Umc0ReqWr,172046024.0
$DFCS1Umc1ReqRd,487746612.0
$DFCS1Umc1ReqWr,172023815.0
$DFCS2Umc2ReqRd,334507483.0
$DFCS2Umc2ReqWr,126404945.0
$DFCS3Umc3ReqRd,334576363.0
$DFCS3Umc3ReqWr,126410169.0
$DFCS4Umc4ReqRd,385319084.0
$DFCS4Umc4ReqWr,140152822.0
$DFCS5Umc5ReqRd,385609431.0
$DFCS5Umc5ReqWr,140146164.0
$DFCS6Umc6ReqRd,186754154.0
$DFCS6Umc6ReqWr,71013179.0
$DFCS7Umc7ReqRd,195892651.0
$DFCS7Umc7ReqWr,74000761.0
